市,年份,供地面积_公顷,成交价格_万元,平均价格_万元每公顷,制造业_总面积,制造业_总价值,制造业_平均价格,制造业_占比,房地产业_总面积,房地产业_总价值,房地产业_平均价格,房地产业_占比,高科技产业_总面积,高科技产业_总价值,高科技产业_平均价格,高科技产业_占比,生产性服务业_总面积,生产性服务业_总价值,生产性服务业_平均价格,生产性服务业_占比,消费性服务业_总面积,消费性服务业_总价值,消费性服务业_平均价格,消费性服务业_占比,第二产业_总面积,第二产业_总价值,第二产业_平均价格,第二产业_占比,第三产业_总面积,第三产业_总价值,第三产业_平均价格,第三产业_占比,土地来源_新增建设用地,土地来源_新增建设用地(来自存量库),土地来源_现有建设用地,供地方式_作价出资或入股,供地方式_划拨,供地方式_协议出让,供地方式_拍卖出让,供地方式_招标出让,供地方式_挂牌出让,供地方式_授权经营,供地方式_租赁,供地方式_价格_划拨,供地方式_价格_挂牌出让,供地方式_价格_拍卖出让,供地方式_价格_协议出让,供地方式_价格_租赁,供地方式_价格_招标出让,供地方式_价格_作价出资或入股,供地方式_价格_授权经营,供地方式_价格_nan
唐山,2013,4825.372,1249641.8482,258.97,728.4245,0.0,0.0,0.151,213.1028,0.0,0.0,0.0442,8.7014,0.0,0.0,0.0018,1571.95,0.0,0.0,0.3258,189.0511,0.0,0.0,0.0392,1393.2586,0.0,0.0,0.2887,3362.3428,0.0,0.0,0.6968,2156.5854,332.9204,2335.8662,0.0,1953.7607,434.1657,13.8555,0.0,2423.5901,0.0,0.0,49.139482844546926,434.8571508441135,516.2054779690376,213.20727800468808,0.0,0.0,0.0,0.0,0.0
唐山,2014,1604.6419,368551.7864,229.68,508.73879999999997,110524.9418,217.25,0.317,100.4997,93786.6032,933.2,0.0626,0.9347,321.18269999999995,343.62,0.0006,305.4711,101884.836,333.53,0.1904,331.41569999999996,21421.5647,64.64,0.2065,677.7477,137687.2401,203.15,0.4224,898.2700999999998,224715.20979999998,250.16,0.5598,564.4473,342.4249,697.7697,0.0,512.4784999999999,169.9183,14.383,0.0,907.8621,0.0,0.0,6.093548314709788,332.40640368179265,1163.2786692623235,276.1230609063297,0.0,0.0,0.0,0.0,0.0
唐山,2015,1072.96,291541.376,271.72,155.5006,35912.8736,230.95,0.1449,53.2786,35615.7178,668.48,0.0497,4.0667,1385.1,340.6,0.0038,607.3472999999999,162349.34909999996,267.31,0.566,88.3213,13662.920800000002,154.7,0.0823,232.5914,52467.8228,225.58,0.2168,784.7640999999999,225297.81100000005,287.09,0.7314,345.6413,310.73679999999996,416.5819,0.0,440.5292,247.88569999999999,16.0953,0.0,368.4498,0.0,0.0,112.57803114980801,331.4532001374407,604.6836467788733,444.12015699171036,0.0,0.0,0.0,0.0,0.0
唐山,2016,1893.1211,500425.5361,264.34,122.5284,34021.7757,277.66,0.0647,54.2615,86085.898,1586.5,0.0287,1.867,701.0,375.47,0.001,1000.2045999999999,157841.82760000002,157.81,0.5283,13.018899999999999,3170.1022,243.5,0.0069,170.18669999999997,44486.958199999994,261.4,0.0899,1622.849,433425.5196,267.08,0.8572,605.2964,439.10069999999996,848.724,0.0,777.2222,337.5927,0.0,0.0,778.3062,0.0,0.0,92.74359365957379,410.04917640383695,0.0,323.46475471774124,0.0,0.0,0.0,0.0,0.0
唐山,2017,2686.7923,796151.3462,296.32,614.8502,138976.6807,226.03,0.2288,159.316,318890.5426,2001.62,0.0593,40.2383,8330.0,207.02,0.015,392.47069999999997,81101.72200000001,206.64,0.1461,104.6634,2774.3119,26.51,0.039,1273.3833,193851.23789999998,152.23,0.4739,1383.1625000000001,591392.2108,427.57,0.5148,754.9738,331.2802,1600.5383,0.0,890.1985,195.0934,21.9423,0.0,1579.5581,0.0,0.0,69.24976665316781,357.2091607773085,4992.67183020923,311.2456977017162,0.0,0.0,0.0,0.0,0.0
唐山,2018,2874.1374,1121701.8302,390.27,500.3019,113386.0949,226.64,0.1741,214.5596,280556.2026,1307.59,0.0747,9.9308,2171.2,218.63,0.0035,348.5484,137006.29640000002,393.08,0.1213,593.7758,81632.3269,137.48,0.2066,977.0487999999999,208328.878,213.22,0.3399,1715.8706999999997,884375.6845000001,515.41,0.597,634.6426,254.5391,1984.9557,0.0,711.3346,632.7267,231.7824,0.0,1298.2937,0.0,0.0,119.96192312309847,310.9821228432365,1651.843665006489,394.7270497673008,0.0,0.0,0.0,0.0,0.0
唐山,2019,3543.7558,1315997.1369,371.36,676.6028,159864.92340000003,236.28,0.1909,431.6972,795460.6671,1842.64,0.1218,0.0,0.0,0.0,0.0,718.1024,126241.3381,175.8,0.2026,413.8823,20762.819900000002,50.17,0.1168,1246.499,255447.77610000002,204.93,0.3517,1925.1868,979476.1439999999,508.77,0.5433,2215.0456,337.1596,991.5506,0.0,1210.8022,394.3613,378.7952,6.6786,1553.1185,0.0,0.0,36.263768846802556,407.4981173683785,1323.0318187770067,344.6938596662502,0.0,315.0360854071212,0.0,0.0,0.0
唐山,2020,5151.7048,2164431.981,420.14,286.36990000000003,72972.1633,254.82,0.0556,270.7576,719743.2398,2658.26,0.0526,27.6443,10572.0854,382.43,0.0054,643.6072,162706.02500000002,252.8,0.1249,47.004400000000004,43684.686,929.37,0.0091,374.3068,87216.593,233.01,0.0727,1142.5984,1059152.4926,926.97,0.2218,832.0962,273.395,4046.2136,0.0,675.3735,3267.1123000000002,409.496,0.0,799.7230000000001,0.0,0.0,184.9141306254983,439.83251288258555,1793.2864636040401,291.8351068005835,0.0,0.0,0.0,0.0,0.0
唐山,2021,1923.6553000000001,918062.9502,477.25,215.67979999999997,60507.1754,280.54,0.1121,219.5671,479483.3264,2183.77,0.1141,13.735,3831.0,278.92,0.0071,342.12819999999994,33252.1355,97.19,0.1779,162.2898,24484.817900000002,150.87,0.0844,324.7439,83525.5117,257.2,0.1688,822.9524,582632.7766000001,707.98,0.4278,793.7644,148.9687,980.9222000000001,0.0,495.8201,754.9759,290.928,0.0,381.9313,0.0,0.0,45.6700180166153,435.8297337767289,1463.9361793983392,401.41916543296276,0.0,0.0,0.0,0.0,0.0
唐山,2022,2443.0319,1278951.6695,523.51,580.3036000000002,88987.5034,153.35,0.2375,352.4449,780203.181,2213.69,0.1443,36.6493,11270.9572,307.54,0.015,227.7246,27435.0262,120.47,0.0932,666.2599,163442.6386,245.31,0.2727,650.0677000000001,108677.89610000001,167.18,0.2661,1566.6532,1113538.551,710.78,0.6413,1042.9470000000001,504.1536,895.9313,0.0,960.6243,231.4915,385.7782,0.0,865.1379000000001,0.0,0.0,52.266327116646956,229.05359804488972,1283.4906360701564,2312.990798798228,0.0,0.0,0.0,0.0,0.0
秦皇岛,2008,139.0576,38405.6824,276.19,21.1245,3758.9979000000003,177.94,0.1519,25.079400000000003,10497.8828,418.59,0.1804,0.0,0.0,0.0,0.0,6.5683,2049.0531,311.96,0.0472,70.4926,11271.608199999999,159.9,0.5069,30.225,14070.5838,465.53,0.2174,108.26299999999998,24313.668599999997,224.58,0.7785,33.6209,0.0,105.4367,0.0,25.178600000000003,92.5036,0.0,6.9666,14.408800000000001,0.0,0.0,134.79928590151954,443.0917911276442,0.0,298.17438564553163,0.0,150.00143542043466,0.0,0.0,0.0
